18 - 29 ,30 - 45,45 - 60,61+
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
have used,have used ,have used ,have used 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,not interested,interested,not interested 
interested,interested,interested,interested
interested,not interested,interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
have used,have used ,have used ,interested
interested,interested,interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
